CCLE_ID,depMapID,Name,Pathology,Site_Primary,Site_Subtype1,Site_Subtype2,Site_Subtype3,Histology,Hist_Subtype1,Hist_Subtype2,Hist_Subtype3,Gender,Life_Stage,Age,Race,Geo_Loc,inferred_ethnicity,Site_Of_Finding,Disease,Annotation_Source,OriginalSourceofCellLine,Characteristics,GrowthMedium,Supplements,FreezingMedium,DoublingTimefromVendor,DoublingTimeCalculatedhrs,type,type_refined,PATHOLOGIST_ANNOTATION,mutRate,tcga_code,NameAstra
DMS53_LUNG,-698,"DMS 53",primary,lung,NS,NS,NS,carcinoma,small_cell_carcinoma,NS,NS,male,<undefined>,54,caucasian,<undefined>,Caucasian,<undefined>,lung_cancer,CCLE,ATCC,"Adherent","Waymouth's +10%FBS","NA",5,<undefined>,450,lung_small_cell,lung_small_cell,Lung:SCLC,157.2416381,SCLC,DMS53
SW1116_LARGE_INTESTINE,-489,"SW1116",primary,large_intestine,colon,NS,NS,carcinoma,adenocarcinoma,NS,NS,male,<undefined>,73,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,ATCC,"Adherent","L15+10%FBS","NA",5,<undefined>,123.2,colorectal,colorectal,Colorectal:Carcinoma,94.37319183,COAD/READ,
NCIH1694_LUNG,-431,"NCI-H1694",metastasis,lung,NS,NS,NS,carcinoma,small_cell_carcinoma,NS,NS,male,<undefined>,61,caucasian,<undefined>,Caucasian,ascites,<undefined>,CCLE,ATCC,"suspension line; lots of debris","DMEM:F12 (1:1) + 5% FBS",".005 mg/ml insulin, .01 mg/ml transferrin, 30nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine",5,<undefined>,81.2,lung_small_cell,lung_small_cell,Lung:SCLC,109.534987,SCLC,
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-707,"P3HR-1",metastasis,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,Burkitt_lymphoma,NS,NS,male,<undefined>,7,african_american,<undefined>,African_american,ascites,Burkitts lymphoma,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,lymphoma_Burkitt,lymphoma_Burkitt,Lymphoma:NH_B_cell,166.4564059,DLBC,
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-509,"HuT 78",primary,haematopoietic_and_lymphoid_tissue,skin,NS,NS,lymphoid_neoplasm,mycosis_fungoides-Sezary_syndrome,NS,NS,male,<undefined>,53,caucasian,<undefined>,Caucasian,<undefined>,sezary_syndrome,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,lymphoma_other,T-cell_lymphoma_other,Lymphoma:NH_T_cell,118.2175686,NA,
UMUC3_URINARY_TRACT,-522,"UM-UC-3",primary,urinary_tract,bladder,NS,NS,carcinoma,transitional_cell_carcinoma,NS,NS,male,<undefined>,NaN,<undefined>,<undefined>,Caucasian,<undefined>,bladder_cancer,CCLE,ATCC,"Adherent epithelial","EMEM +10%FBS","NA",5,<undefined>,386.7,urinary_tract,urinary_tract,Bladder:Carcinoma,124.7079624,BLCA,UMUC3
HOS_BONE,-613,"HOS",primary,bone,NS,NS,NS,osteosarcoma,NS,NS,NS,female,<undefined>,13,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,GNF,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,osteosarcoma,osteosarcoma,Bone:Sarcoma_Osteo,127.9796713,SARC,
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-829,"HuNS1",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,plasma_cell_myeloma,NS,NS,male,<undefined>,NaN,<undefined>,<undefined>,Caucasian,<undefined>,myeloma,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,multiple_myeloma,multiple_myeloma,Lymphoma:Multiple_Myeloma,187.9138764,MM,
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-557,"AML-193",primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,haematopoietic_neoplasm,acute_myeloid_leukaemia,M5,NS,female,<undefined>,13,<undefined>,<undefined>,African_american,<undefined>,<undefined>,CCLE,ATCC,"suspension","IMDM+5%FBS","0.005mg/ml insulin, 0.005mg/ml transferrin and 5ng/ml GM-CSF",5,<undefined>,80.3,AML,AML,Leukemia:AML,133.3686368,LAML,
RVH421_SKIN,-614,"RVH-421",metastasis,skin,NS,NS,NS,malignant_melanoma,NS,NS,NS,male,<undefined>,28,caucasian,europe,Caucasian,brain,<undefined>,CCLE,<undefined>,"Adherent","RPMI1640+10%FBS","NA",5,<undefined>,49.5,melanoma,melanoma,Skin:Melanoma,NaN,SKCM,
NCIH1184_LUNG,-523,"NCI-H1184",metastasis,lung,NS,NS,NS,carcinoma,small_cell_carcinoma,NS,NS,male,<undefined>,42,caucasian,<undefined>,Caucasian,lymph_node,<undefined>,CCLE,ATCC,"Mixed (lymphoblasts)","RPMI-1640 + 10% FBS","NA",5,<undefined>,151.7,lung_small_cell,lung_small_cell,Lung:SCLC,134.1563317,SCLC,
HCC2157_BREAST,-691,"HCC2157",primary,breast,NS,NS,NS,carcinoma,ductal_carcinoma,NS,NS,female,<undefined>,48,african_american,<undefined>,African_american,<undefined>,ductal_carcinoma,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,breast,breast,NA,173.1865428,BRCA,
TC71_BONE,-424,"TC-71",primary,bone,NS,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,male,<undefined>,22,<undefined>,<undefined>,Caucasian,<undefined>,Ewings_sarcoma,CCLE,NIBRI,"<undefined>","<undefined>","<undefined>",NaN,<undefined>,NaN,Ewings_Sarcoma,Ewings_sarcoma,Bone:Sarcoma_Ewing,116.191956,SARC,
NCIH2227_LUNG,-610,"NCI-H2227",primary,lung,NS,NS,NS,carcinoma,small_cell_carcinoma,NS,NS,male,<undefined>,54,caucasian,<undefined>,Caucasian,<undefined>,<undefined>,CCLE,ATCC,"mixed","DMEM:HAM's F12  1:1  +5% FBS","0.005 mg/ml Insulin, 0.01 mg/ml transferrin, 30 nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 1 mM L-glutamine",5,<undefined>,187.6,lung_small_cell,lung_small_cell,Lung:SCLC,136.788956,SCLC,
