Cell Line	Cellosaurus RRID
184A1	CVCL_3040
5637	CVCL_0126
647V	CVCL_1049
769P	CVCL_1050
786O	CVCL_1051
977	CVCL_8625
A427	CVCL_1055
A498	CVCL_1056
A549	CVCL_0023
A704	CVCL_1065
ACHN	CVCL_1067
ASPC1	CVCL_0152
BT20	CVCL_0178
BT549	CVCL_1092
BFTC905	CVCL_1083
BXPC3	CVCL_0186
CAKI1	CVCL_0234
CAL51	CVCL_1110
CALU1	CVCL_0608
CALU3	CVCL_0609
CALU6	CVCL_0236
CCRFCEM	CVCL_0207
CHAGOK1	CVCL_1121
COLO205	CVCL_0218
CORL23	CVCL_1139
CORL279	CVCL_1140
CORL88A	CVCL_1141
DMS114	CVCL_1174
DMS53	CVCL_1177
DU145	CVCL_0105
DU4475	CVCL_1183
EBC1	CVCL_2891
EKVX	CVCL_1195
EPLC272H	CVCL_1197
HARA	CVCL_2914
HCC1143	CVCL_1245
HCC1187	CVCL_1247
HCC1395	CVCL_1249
HCC15	CVCL_2057
HCC1806	CVCL_1258
HCC1937	CVCL_0290
HCC38	CVCL_1267
HCC70	CVCL_1270
HCT116	CVCL_0291
HCT15	CVCL_0292
HDQP1	CVCL_2067
HL60	CVCL_0002
HOP62	CVCL_1285
HOP92	CVCL_1286
HPAC	CVCL_3517
HS578T	CVCL_0332
HT1197	CVCL_1291
HT1376	CVCL_1292
HT29	CVCL_0320
HX147	CVCL_Y053
IGROV1	CVCL_1304
J82	CVCL_0359
K562	CVCL_0004
KM12	CVCL_1331
KNS62	CVCL_1335
KP4	CVCL_1338
KU1919	CVCL_1344
LK2	CVCL_1377
LOXIMVI	CVCL_1381
LUDLU1	CVCL_2582
M14	CVCL_1395
MALME3M	CVCL_1438
MCF7	CVCL_0031
MDAMB157	CVCL_0618
MDAMB231	CVCL_0062
MDAMB435S	CVCL_0622
MDAMB436	CVCL_0623
MDAMB468	CVCL_0419
MGHU3	CVCL_9827
MIAPACA2	CVCL_0428
MOLT4	CVCL_0013
NCIH1048	CVCL_1453
NCIH1155	CVCL_1456
NCIH1299	CVCL_0060
NCIH1395	CVCL_1467
NCIH1437	CVCL_1472
NCIH146	CVCL_1473
NCIH1563	CVCL_1475
NCIH1650	CVCL_1483
NCIH1651	CVCL_1484
NCIH1666	CVCL_1485
NCIH1693	CVCL_1488
NCIH1703	CVCL_1490
NCIH1734	CVCL_1491
NCIH1755	CVCL_1492
NCIH1792	CVCL_1495
NCIH1793	CVCL_1496
NCIH1838	CVCL_1499
NCIH1869	CVCL_1500
NCIH1975	CVCL_1511
NCIH1993	CVCL_1512
NCIH2009	CVCL_1514
NCIH2030	CVCL_1517
NCIH2073	CVCL_1521
NCIH2085	CVCL_1523
NCIH209	CVCL_1525
NCIH2122	CVCL_1531
NCIH2126	CVCL_1532
NCIH2135	CVCL_1533
NCIH2170	CVCL_1535
NCIH2171	CVCL_1536
NCIH2172	CVCL_1537
NCIH2228	CVCL_1543
NCIH226	CVCL_1544
NCIH2286	CVCL_1545
NCIH2291	CVCL_1546
NCIH23	CVCL_1547
NCIH2342	CVCL_1549
NCIH2347	CVCL_1550
NCIH2444	CVCL_1552
NCIH292	CVCL_0455
NCIH322M	CVCL_1557
NCIH3255	CVCL_6831
NCIH345	CVCL_1558
NCIH358	CVCL_1559
NCIH441	CVCL_1561
NCIH446	CVCL_1562
NCIH460	CVCL_0459
NCIH460DNP53	NCIH460DNP53
NCIH510	CVCL_1565
NCIH520	CVCL_1566
NCIH522	CVCL_1567
NCIH526	CVCL_1569
NCIH596	CVCL_1571
NCIH647	CVCL_1574
NCIH661	CVCL_1577
NCIH727	CVCL_1584
NCIH810	CVCL_1590
NCIH82	CVCL_1591
NCIH838	CVCL_1594
OVCAR3	CVCL_0465
OVCAR4	CVCL_1627
OVCAR5	CVCL_1628
OVCAR8	CVCL_1629
PANC0327	CVCL_1635
PANC0403	CVCL_1636
PANC0813	CVCL_1638
PANC1	CVCL_0480
PC14PE6	CVCL_9W70
PC3	CVCL_0035
PC9	CVCL_B260
RERFLCA	CVCL_4402
RERFLCSQ1	CVCL_1656
RPMI8226	CVCL_0014
RT4	CVCL_0036
RXF393	CVCL_1673
SBC5	CVCL_1679
SCABER	CVCL_3599
SF268	CVCL_1689
SF295	CVCL_1690
SF539	CVCL_1691
SHP77	CVCL_1693
SKLU1	CVCL_0629
SKMEL2	CVCL_0069
SKMEL5	CVCL_0527
SKMES1	CVCL_0630
SKOV3	CVCL_0532
SN12C	CVCL_1705
SNB75	CVCL_1706
SR	CVCL_1711
SU8686	CVCL_3881
SUM149PT	CVCL_3422
SW156	CVCL_1719
SW1573	CVCL_1720
SW620	CVCL_0547
SW780	CVCL_1728
SW900	CVCL_1731
T24	CVCL_0554
T47D	CVCL_0553
UACC257	CVCL_1779
UACC62	CVCL_1780
UMC11	CVCL_1784
UMUC3	CVCL_1783
UO31	CVCL_1911
VMCUB1	CVCL_1786
