,,,Cell lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Type,,,NCIH1395,RT4,NCIH1993,CALU3,HPAC,CORL23,BTFC905,HCT15,MDAMB468,OVCAR3,IGROV1,NCIH727,NCIH1437,KM12,HCC1395,NCIH2122,ACHN,SW620,SHP77,CORL88A,HARA,EKVX,NCIH1975,NCIH2170,NCIH441,SW156,SW1573,HT29,PC14PE6,NCIH2135,MCF7,HT1376,NCIH1666,HCC1937,SBC5,NCIH1299,PANC0813,NCIH2291,HT1197,NCIH1869,BXPC3,CHAGOK1,VMCUB1,NCIH460,NCIH2073,MIAPACA2,HCC1806,HOP92,A427,KP4,SKMEL2,HCC70,MDAMB435S,EBC1,PC9,NCIH322M,NCIH1792,UMC11,T47D,NCIH526,NCIH209,DMS114,DMS53,HCT116,NCIH226,NCIH460DNP53,A549,NCIH1734,HCC15,M14,UMUC3,CAKI1,NCIH2085,A498,7860,647V,NCIH1650,EPLC272H,NCIH661,PANC0403,NCIH446,CAL51,PANC1,UACC257,NCIH3255,LOXIMVI,UACC62,NCIH358,HCC38,SNB75,NCIH1755,NCIH1838,NCIH1793,A704,PANC0327,NCIH522,NCIH2444,SU8686,SUM149PT,NCIH838,RXF393,OVCAR4,977,HDQP1,NCIH292,5637,KU1919,PC3,SF268,NCIH23,MGHU3,SN12C,CALU1,MDAMB231,HCC1187,NCIH520,LK2,SCABER,SW780,SF295,RERFLCSQ1,NCIH2228,LUDLU1,KNS62,NCIH2030,NCIH2126,NCIH647,SKMES1,DU145,NCIH1651,NCIH146,K562,DU4475,J82,MALME3M,769P,COLO205,HL60,SKMEL5,ASPC1,HX147,NCIH510,T24,NCIH810,BT549,CORL279,NCIH596,CALU6,HS578T,MDAMB436,NCIH1048,NCIH2342,RPMI8226,NCIH2171,MOLT4,CCRFCEM,NCIH82,NCIH1155,SR8714,SKLU1,184A1,SW900,NCIH2347,NCIH1693,UO31,HOP62,OVCAR8,SF539,BT20,SKOV3,RERFLCA1,NCIH1563,MDAMB157,HCC1143,NCIH2009,OVCAR5,NCIH1703,NCIH2172,NCIH345,NCIH2286
Experiment,Batch,Batch 6,0.971174239,0.971174239,0.971174239,0.971174239,0.971174239,0.971174239,0.971174239,0.971174239,0.971174239,0.971174239,0.971174239,0.971174239,0.971174239,0.971174239,0.971174239,0.971174239,0.971174239,0.971174239,0.971174239,0.971174239,0.971174239,0.971174239,0.971174239,0.971174239,0.971174239,0.971174239,0.971174239,0.971174239,0.971174239,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.464910193,0.006218623,0.006218623,0.006218623,0.006218623,0.006218623,0.006218623,0.006218623,0.006218623,0.006218623,0.006218623,0.006218623,0.006218623,0.006218623,0.006218623,0.006218623,0.006218623,0.006218623,0.006218623,0.006218623,0.006218623,0.006218623,0.006218623,0.006218623,0.006218623,0.006218623,0.006218623,0.006218623,0.006218623,0.006218623,0.031490068,0.031490068,0.031490068,0.031490068,0.031490068,0.031490068,0.031490068,0.031490068,0.031490068,0.031490068,0.031490068,0.031490068,0.031490068,0.031490068,0.031490068,0.031490068,0.031490068,0.031490068,0.031490068,0.031490068,0.031490068
,Confluence/suspension,Suspension,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.947907681,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.532620717,0.002068532,0.002068532,0.002068532,0.002068532,0.002068532,0.002068532,0.002068532,0.002068532,0.002068532,0.002068532,0.002068532,0.002068532,0.002068532,0.002068532,0.002068532,0.002068532,0.002068532,0.002068532,0.002068532,0.002068532,0.002068532,0.002068532,0.002068532,0.002068532,0.002068532,0.002068532,0.002068532,0.002068532,0.002068532,0.013154304,0.013154304,0.013154304,0.013154304,0.013154304,0.013154304,0.013154304,0.013154304,0.013154304,0.013154304,0.013154304,0.013154304,0.013154304,0.013154304,0.013154304,0.013154304,0.013154304,0.013154304,0.013154304,0.013154304,0.013154304
,Growth Rate,Growth Rate,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,-0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071,0.699498071
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metadata,,BLOOD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.497718784,0.0111028,0.0111028,0.0111028,0.0111028,0.0111028,0.0111028,0.0111028,0.0111028,0.0111028,0.0111028,0.0111028,0.0111028,0.0111028,0.0111028,0.0111028,0.0111028,0.0111028,0.0111028,0.0111028,0.0111028,0.0111028,0.0111028,0.0111028,0.0111028,0.0111028,0.0111028,0.0111028,0.0111028,0.0111028,0.064951097,0.064951097,0.064951097,0.064951097,0.064951097,0.064951097,0.064951097,0.064951097,0.064951097,0.064951097,0.064951097,0.064951097,0.064951097,0.064951097,0.064951097,0.064951097,0.064951097,0.064951097,0.064951097,0.064951097,0.064951097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omics,Mutation,AXIN1_all_mutations,0.130286133,0.130286133,0.130286133,0.130286133,0.130286133,0.091762298,0.091762298,0.091762298,0.091762298,0.091762298,0.091762298,0.091762298,0.091762298,0.091762298,0.091762298,0.091762298,0.091762298,0.091762298,0.091762298,0.091762298,0.091762298,0.091762298,0.091762298,0.091762298,0.091762298,0.091762298,0.091762298,0.091762298,0.091762298,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,0.520585498,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.84562177,0.84562177,0.84562177,0.84562177,0.84562177,0.84562177,0.84562177,0.84562177,0.84562177,0.84562177,0.84562177,0.84562177,0.84562177,0.84562177,0.84562177,0.84562177,0.84562177,0.84562177,0.84562177,0.84562177,0.84562177,0.84562177,0.84562177,0.84562177,0.84562177,0.84562177,0.84562177,0.84562177,0.84562177,0.942341694,0.942341694,0.942341694,0.942341694,0.942341694,0.942341694,0.942341694,0.942341694,0.942341694,0.942341694,0.942341694,0.942341694,0.942341694,0.942341694,0.942341694,0.942341694,0.942341694,0.942341694,0.942341694,0.942341694,0.942341694
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Copy Number,PSPC1_CN,0.573922228,0.573922228,0.573922228,0.573922228,0.573922228,0.46604854,0.46604854,0.46604854,0.46604854,0.46604854,0.46604854,0.46604854,0.46604854,0.46604854,0.46604854,0.46604854,0.46604854,0.46604854,0.46604854,0.46604854,0.46604854,0.46604854,0.46604854,0.46604854,0.46604854,0.46604854,0.46604854,0.46604854,0.46604854,-0.486511609,-0.486511609,-0.486511609,-0.486511609,-0.486511609,-0.486511609,-0.486511609,-0.486511609,-0.486511609,-0.486511609,-0.486511609,-0.486511609,-0.486511609,-0.486511609,-0.486511609,-0.486511609,-0.486511609,-0.486511609,-0.486511609,-0.486511609,-0.486511609,-0.486511609,-0.486511609,-0.486511609,-0.486511609,-0.486511609,-0.486511609,-0.486511609,-0.572591919,-0.572591919,-0.572591919,-0.572591919,-0.572591919,-0.572591919,-0.572591919,-0.572591919,-0.572591919,-0.572591919,-0.572591919,-0.572591919,0.389519014,0.389519014,0.389519014,0.389519014,0.389519014,0.389519014,0.389519014,0.389519014,0.389519014,0.095464714,0.095464714,0.095464714,0.095464714,0.095464714,0.095464714,0.095464714,0.095464714,0.095464714,0.095464714,0.095464714,0.095464714,0.095464714,0.095464714,0.095464714,0.095464714,0.095464714,0.095464714,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.685702705,0.532688832,0.532688832,0.532688832,0.532688832,0.532688832,0.532688832,0.532688832,0.532688832,0.532688832,0.532688832,0.532688832,0.532688832,0.532688832,0.532688832,0.532688832,0.532688832,0.532688832,0.532688832,0.532688832,0.532688832,0.532688832,0.532688832,0.532688832,0.532688832,0.532688832,0.532688832,0.532688832,0.532688832,0.532688832,-0.581214081,-0.581214081,-0.581214081,-0.581214081,-0.581214081,-0.581214081,-0.581214081,-0.581214081,-0.581214081,-0.581214081,-0.581214081,-0.581214081,-0.581214081,-0.581214081,-0.581214081,-0.581214081,-0.581214081,-0.581214081,-0.581214081,-0.581214081,-0.581214081
