"","Glycolysis / Gluconeogenesis","Citrate cycle (TCA cycle)","Pentose phosphate pathway","Pentose and glucuronate interconversions","Fructose and mannose metabolism","Galactose metabolism","Ascorbate and aldarate metabolism","Fatty acid biosynthesis","Fatty acid elongation","Fatty acid degradation","Steroid biosynthesis","Primary bile acid biosynthesis","Ubiquinone and other terpenoid-quinone biosynthesis","Steroid hormone biosynthesis","Arginine biosynthesis","Purine metabolism","Pyrimidine metabolism","Alanine, aspartate and glutamate metabolism","Glycine, serine and threonine metabolism","Cysteine and methionine metabolism","Valine, leucine and isoleucine degradation","Lysine degradation","Arginine and proline metabolism","Histidine metabolism","Tyrosine metabolism","Phenylalanine metabolism","Tryptophan metabolism","beta-Alanine metabolism","Taurine and hypotaurine metabolism","Glutathione metabolism","Starch and sucrose metabolism","Amino sugar and nucleotide sugar metabolism","Glycerolipid metabolism","Inositol phosphate metabolism","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","Glycerophospholipid metabolism","Arachidonic acid metabolism","Linoleic acid metabolism","alpha-Linolenic acid metabolism","Sphingolipid metabolism","Pyruvate metabolism","Propanoate metabolism","Butanoate metabolism","Pantothenate and CoA biosynthesis","Folate biosynthesis","Retinol metabolism","Aminoacyl-tRNA biosynthesis","Drug metabolism - cytochrome P450","Drug metabolism - other enzymes"
"184A1",0.023423,-0.1792,-0.068438,0.16097,0.056789,0.098487,-0.084755,0.18378,-0.15018,-0.33741,0.12215,0.045021,0.015315,0.032153,-0.081379,-0.26646,-0.23331,-0.089776,-0.058224,-0.098786,-0.16634,-0.33769,-0.076188,-0.18649,0.10493,-0.0049726,-0.12498,-0.38795,-0.32285,-0.17742,0.084983,-0.17484,-0.016106,0.079105,-0.11635,-0.089457,-0.16028,-0.1375,-0.13467,0.33143,-0.2743,-0.25188,-0.28966,0.29556,0.092869,0.18593,0.050694,0.17308,0.25248
"5637",-0.090483,-0.1341,0.025193,0.016649,-0.074381,-0.20848,-0.023335,0.14786,-0.14669,-0.31514,-0.16239,-0.057883,0.10117,0.012099,0.25755,-0.11705,-0.11033,-0.045049,-0.020573,0.028197,-0.086293,0.069762,-0.016837,-0.03468,0.058966,0.26419,0.00049581,-0.16833,-0.28485,-0.28653,-0.0059711,-0.28466,-0.18623,-0.045003,-0.061631,-0.05591,-0.067344,-0.058657,-0.053309,-0.17706,-0.042846,-0.16804,-0.24266,0.31266,0.15293,0.20386,0.1657,0.16584,0.29101
"647V",0.020047,0.14418,0.15938,-0.16906,0.10418,-0.17655,-0.16162,0.0021585,-0.029077,-0.083928,0.16718,0.1788,0.10807,-0.079923,0.062796,0.0039302,-0.03766,0.11051,0.019743,0.025528,0.15442,0.2515,0.010037,0.048905,0.017737,0.082487,-0.044339,-0.012383,-0.040392,-0.27174,0.38612,-0.18597,0.11842,0.38274,0.081681,0.060728,0.1248,0.12524,0.11815,-0.032087,0.17951,0.30714,0.3438,0.27248,0.19351,-0.13525,0.019159,0.15851,-0.31435
"769P",-0.12838,-0.13443,-0.083518,0.1257,-0.19378,0.14983,-0.067728,0.038182,-0.02203,0.022059,0.11831,0.1996,0.097514,0.053918,-0.11982,-0.12041,-0.073174,-0.014629,-0.136,-0.10487,-0.10912,-0.096234,-0.19594,-0.27347,0.13512,-0.23787,-0.39011,-0.03995,0.25135,-0.013003,-0.28914,-0.021609,0.22459,-0.39931,0.02949,0.019339,-0.0057716,0.030516,0.029833,0.16879,-0.22183,-0.073993,0.018958,-0.075719,-0.21516,0.18754,-0.16565,-0.023996,0.23892
"7860",0.11266,0.10198,-0.052542,0.11751,0.026286,0.033476,-0.16866,0.052365,0.055193,0.038186,0.15582,0.20065,0.089502,0.11884,-0.10061,-0.065468,-0.13769,0.087501,-0.084092,-0.13811,0.12278,0.029696,-0.058764,-0.29771,0.059799,-0.37474,-0.33955,0.14228,0.21396,-0.049751,0.034836,-0.049032,-0.17928,-0.068539,-0.038122,-0.04022,-0.080901,-0.029112,-0.026184,-0.22492,0.10846,0.21895,0.53264,0.067426,0.032369,0.21889,-0.25689,0.15247,-0.033126
"977",0.1119,-0.068207,0.087014,-0.10901,0.064672,-0.031964,0.16869,0.061435,-0.099527,-0.21969,0.14622,0.056744,-0.16476,-0.035306,0.21153,-0.036322,-0.025667,0.002,0.058524,0.098674,-0.0030959,0.020764,0.030441,0.20037,-0.020813,0.35714,0.22749,-0.00031436,-0.22645,-0.12532,0.12224,-0.054939,-0.16667,0.11545,-0.091872,-0.068483,-0.035007,-0.040726,-0.038787,-0.043123,0.093725,-0.18722,-0.29744,0.29335,0.3495,-0.12136,0.24711,0.18362,-0.24596
"A427",0.058029,0.1461,0.21898,-0.16037,-0.083163,0.2025,0.37842,-0.026145,0.097275,0.31736,-0.03214,0.025665,-0.051812,-0.0045598,0.0046437,0.066026,0.072386,0.13179,0.14072,0.093964,0.082449,-0.012482,0.16303,0.059857,-0.21752,0.023409,0.26139,0.3694,-0.0033228,0.072654,-0.11469,0.0085114,0.13949,0.012932,0.10996,0.083221,-0.014791,0.057399,0.054467,-0.2084,0.11354,-0.12928,-0.095753,-0.36951,-0.24186,0.56738,0.053833,0.038215,-0.064909
"A498",0.1975,0.10938,0.074986,-0.07224,0.021384,-0.057309,-0.037682,-0.050696,0.018125,-0.080542,-0.047616,-0.051385,0.26301,0.015727,-0.15685,0.061363,-0.039081,-0.027223,-0.032369,-0.045315,0.075739,0.21048,-0.21595,-0.16604,0.16944,-0.21342,-0.094912,0.066785,0.12447,0.22006,0.078523,0.049981,0.23484,-0.00050224,-0.0027791,-0.001588,0.080316,0.077715,0.077146,0.074619,0.33389,0.62743,0.41506,0.11086,-0.033688,0.10789,-0.27307,-0.046108,0.087671
"A549",-0.084913,-0.086574,-0.062215,0.0012179,-0.13281,-0.30373,0.27232,-0.16208,0.13275,0.17139,0.092281,-0.017936,0.029756,-0.079495,-0.19799,0.15066,0.12921,-0.081087,-0.021937,-0.11897,-0.03526,-0.077715,-0.11089,-0.008694,0.012282,-0.087651,0.064451,0.1833,0.33462,0.32314,-0.13039,0.014678,0.20576,-0.32176,0.10415,0.082407,0.10674,0.07093,0.070299,-0.18367,-0.10055,-0.07695,0.17605,-0.21266,-0.16839,-0.051312,-0.089475,-0.050356,0.034544
"A704",0.09047,-0.2906,-0.063187,-0.11757,0.14281,0.25638,0.16075,0.036784,-0.073489,-0.10374,0.096777,0.22912,0.043497,0.01913,-0.2553,-0.038081,-0.15298,0.021702,-0.14131,-0.05481,-0.052865,-0.11785,-0.13076,-0.065515,0.082646,-0.16742,-0.24372,-0.060276,0.15483,-0.15586,0.02376,0.019648,-0.26626,0.24697,-0.097824,-0.087189,-0.13639,-0.13564,-0.13415,0.18384,-0.15511,0.092264,0.10715,-0.022718,-0.037188,0.0035281,-0.17099,-0.010744,0.081137
"ACHN",0.3081,0.33346,0.20843,-0.19547,0.23918,0.10626,0.14975,-0.32605,0.34414,0.66283,0.021236,-0.043692,-0.43287,-0.22131,0.062712,0.26047,0.23373,0.13474,0.24215,0.18374,0.31231,0.36848,0.22666,0.37047,-0.36911,0.22876,0.42565,0.57029,0.64015,0.18898,0.3311,0.20859,0.12052,0.3538,-0.038591,0.00068173,0.033003,-0.025912,-0.0279,-0.023991,0.2686,0.085846,0.075989,-0.33684,-0.026918,-0.28655,0.16448,-0.38543,-0.20831
"ASPC1",-0.22412,0.0068577,-0.23106,-0.018627,-0.080042,0.25108,0.19761,0.16297,-0.099584,-0.14187,0.1007,0.18873,0.14898,0.0046995,-0.18207,-0.030726,-0.003086,0.026561,-0.079837,-0.022969,-0.12406,-0.068805,-0.098834,-0.062372,0.24914,-0.14616,-0.18498,0.010141,-0.3336,-0.10757,-0.24119,0.021618,-0.25031,-0.13943,-0.22021,-0.15767,-0.23794,-0.21005,-0.21886,-0.2004,-0.04667,0.13239,-0.34143,0.065817,0.085683,0.090232,-0.089846,0.18809,0.041733
"BT20",-0.11407,-0.43359,0.0060355,0.080768,-0.064821,0.29338,-0.2336,0.25495,-0.23331,-0.54085,-0.1441,0.0025204,0.2974,0.080257,-0.087211,-0.27622,-0.38581,-0.21183,-0.10502,-0.04487,-0.23858,-0.4239,-0.083083,-0.25413,0.18861,0.039717,0.017314,-0.569,-0.26567,-0.24782,-0.17372,-0.29629,-0.27348,0.0022396,-0.24133,-0.19453,-0.3356,-0.3035,-0.30473,-0.11356,-0.39891,-0.20829,-0.29185,0.42301,0.25677,0.11361,0.028245,0.32153,0.31091
"BT549",-0.21582,-0.33444,-0.18812,0.095583,-0.17383,0.13404,-0.40765,0.15955,-0.12413,-0.2449,0.04193,0.07648,0.16397,0.032029,-0.022246,-0.1256,-0.1426,-0.040522,-0.053376,-0.14046,-0.089327,0.059285,-0.056734,-0.27003,0.1859,-0.17185,-0.2028,-0.30495,-0.16018,-0.22397,-0.22785,-0.15363,-0.12024,-0.1711,0.030301,-0.001601,-0.018419,0.0087782,0.0060106,0.16088,-0.35588,0.19926,0.2453,0.21881,-0.30631,0.19558,-0.083579,0.17432,0.26835
"BTFC905",0.24904,0.31549,0.2788,-0.18925,0.20415,-0.1256,0.096892,-0.046451,0.066874,0.19303,0.23391,0.14112,-0.21579,-0.027495,0.21154,0.1691,0.1409,0.2065,0.13969,0.11652,0.23801,0.095736,0.12356,0.27581,-0.18945,0.34925,0.23959,0.17828,-0.048463,-0.12911,0.44355,-0.011801,-0.025678,0.6075,0.14829,0.1199,0.14999,0.13054,0.13187,0.2524,0.4494,0.27966,0.42957,-0.22232,0.00075775,0.018264,0.2147,-0.061373,-0.11559
"BXPC3",0.0096097,0.25878,0.17918,-0.18863,0.086297,0.051983,0.33942,-0.081021,-0.045249,-0.037844,0.028878,-0.10762,-0.24604,-0.066781,0.25532,0.16181,0.092812,0.014581,0.043314,0.12014,0.087163,-0.055378,0.04826,0.22731,-0.24705,0.31066,0.29995,0.024986,-0.36295,0.087124,-0.01691,0.0099195,-0.0074877,0.019367,-0.038079,-0.011673,-0.057176,-0.025999,-0.024727,0.28702,0.1442,0.072085,-0.16511,-0.14034,0.032484,0.068866,0.22215,-0.057292,-0.40193
"CAKI1",-0.091295,0.26939,-0.22878,-0.068141,-0.11023,0.10466,0.030115,-0.12687,0.033824,0.1305,-0.084718,0.038962,-0.18056,-0.10899,-0.033085,0.11014,0.063774,0.20224,-0.029277,-0.01867,0.11145,0.11039,0.088324,0.11466,-0.26153,-0.10533,-0.14831,-0.056844,0.33735,0.0043525,-0.12004,0.27204,0.17617,-0.39571,0.086572,0.074703,0.079561,0.077565,0.080732,-0.084991,0.065089,0.40982,0.40187,-0.15326,0.018784,0.16392,-0.14978,-0.11136,-0.19935
"CAL51",0.17001,-0.0068688,0.094957,-0.039159,0.075917,-0.028344,0.32092,0.024396,0.00014267,0.064099,0.017447,0.11052,0.087448,-0.048833,-0.17243,-0.016858,0.070123,0.040403,0.055549,0.082257,-0.046927,-0.10152,-0.14833,-0.029842,0.019296,-0.049986,0.022128,-0.084258,-0.38594,-0.044,0.28134,0.044967,0.047988,0.37705,0.059046,0.023244,-0.0018952,0.044581,0.03458,-0.072584,-0.088707,0.063112,0.1194,-0.172,0.029196,0.063205,-0.030919,-0.092824,0.028288
"CALU1",-0.030879,-0.087558,-0.064384,0.076296,0.045765,0.058256,-0.038078,0.17677,-0.1133,-0.34355,0.0019148,0.13005,0.21866,0.058407,0.017409,-0.13701,-0.22195,-0.003478,-0.046369,0.0059239,-0.11975,-0.065352,0.0044966,-0.21942,0.15424,-0.049057,-0.17938,-0.061545,0.025028,-0.32991,0.00044058,-0.11421,-0.070656,0.12104,-0.12737,-0.10351,-0.15039,-0.12605,-0.12624,-0.23447,-0.10064,-0.15265,-0.15296,0.32058,0.22656,0.058673,-0.029838,0.19059,0.017907
