Name,Class,C:DB,Formula,HS578T_NoLab_1_1.raw(F36),HS578T_NoLab_1_2.raw(F37),HS578T_NoLab_2_1.raw(F39),HS578T_NoLab_2_2.raw(F40),HS578T_NoLab_3_1.raw(F41),HS578T_NoLab_3_2.raw(F42),OVCAR5_NoLab_1_1.raw(F138),OVCAR5_NoLab_1_2.raw(F139),OVCAR5_NoLab_2_1.raw(F141),OVCAR5_NoLab_2_2.raw(F142),OVCAR5_NoLab_3_1.raw(F143),OVCAR5_NoLab_3_2.raw(F144),SF539_NoLab_1_1.raw(F159),SF539_NoLab_1_2.raw(F160),SF539_NoLab_2_1.raw(F162),SF539_NoLab_2_2.raw(F163),SF539_NoLab_3_1.raw(F164),SF539_NoLab_3_2.raw(F165),SKMEL5_NoLab_1_1.raw(F180),SKMEL5_NoLab_1_2.raw(F181),SKMEL5_NoLab_2_1.raw(F183),SKMEL5_NoLab_2_2.raw(F184),SKMEL5_NoLab_3_1.raw(F185),SKMEL5_NoLab_3_2.raw(F186),HCT15_NoLab_1_1.raw(F15),HCT15_NoLab_1_2.raw(F16),HCT15_NoLab_2_1.raw(F18),HCT15_NoLab_2_2.raw(F19),HCT15_NoLab_3_1.raw(F20),HCT15_NoLab_3_2.raw(F21),NCIH460_NoLab_1_1.raw(F96),NCIH460_NoLab_1_2.raw(F97),NCIH460_NoLab_2_1.raw(F99),NCIH460_NoLab_2_2.raw(F100),NCIH460_NoLab_3_1.raw(F101),NCIH460_NoLab_3_2.raw(F102),OVCAR3_NoLab_1_1.raw(F117),OVCAR3_NoLab_1_2.raw(F118),OVCAR3_NoLab_2_1.raw(F120),OVCAR3_NoLab_2_2.raw(F121),OVCAR3_NoLab_3_1.raw(F122),OVCAR3_NoLab_3_2.raw(F123),SW620_NoLab_1_1.raw(F201),SW620_NoLab_1_2.raw(F202),SW620_NoLab_2_1.raw(F204),SW620_NoLab_2_2.raw(F205),SW620_NoLab_3_1.raw(F206),SW620_NoLab_3_2.raw(F207),T47D_NoLab_1_1.raw(F222),T47D_NoLab_1_2.raw(F223),T47D_NoLab_2_1.raw(F225),T47D_NoLab_2_2.raw(F226),T47D_NoLab_3_1.raw(F227),T47D_NoLab_3_2.raw(F228)
CL 66:4; CL 14:1-18:1-16:2-18:0; [M+NH4]+,CL , 66:4,C75 H138 O17 P2,1.223185788,1.464206124,1.356622574,1.196881701,1.126785342,0.875455322,5.882318232,6.256970365,5.283524406,5.63615632,5.834660292,6.208392778,13.38444728,14.10444199,13.66827158,14.29216799,14.71628062,17.04587477,133.5893053,138.010766,126.1836302,122.9032165,121.3930303,119.8537981,2.96462207,2.890172258,3.346142562,3.332749051,3.55131562,3.461390352,25.78129898,25.64257929,25.45214952,27.10082567,27.32042945,27.3714985,36.93955635,44.77811065,41.62415671,39.37550181,35.67630977,39.32727428,38.71886542,42.81438182,34.50542207,33.97512427,33.80272372,33.29809858,3.745054018,3.773584399,4.049499361,3.936826166,4.458378737,4.294977784
CL 68:5; CL 16:0-18:3-16:2-18:0; [M+NH4]+,CL , 68:5,C77 H140 O17 P2,18.04080472,16.67082015,19.7042719,17.74141841,15.1855182,14.76655165,44.41265826,42.56477076,38.7550624,36.17206938,34.96818118,38.70298502,41.7038153,42.50095774,42.30589005,43.54473254,43.5485527,44.34363118,115.5646798,118.7884003,111.6037065,109.9584639,106.0478147,105.6027627,6.751645923,6.922863304,8.456744291,8.92187002,8.722207182,8.695948205,62.83598836,60.72187421,66.97514897,66.5727983,66.53357559,68.32771198,89.96761666,99.0349984,100.6415309,96.4377895,94.06329825,87.22494037,73.18996188,76.89203719,70.32000362,64.44653823,64.19688029,61.37187989,14.52115261,14.0826665,13.82031924,14.17990312,16.72545752,14.03162592
CL 68:5; CL 16:0-18:3-16:2-18:0; [M+NH4]+,CL , 68:5,C77 H140 O17 P2,4.132981019,4.336382719,4.81149596,4.185857485,3.207573956,4.32668245,14.97336243,12.75514231,10.72129792,9.656507021,8.109554502,11.28194373,13.05393013,13.09223188,13.37146131,12.18452188,14.00615397,15.87246402,36.65975685,35.65132992,32.79470425,31.58712015,29.62960421,30.41005225,2.259139823,2.247368307,2.703272997,2.647342975,2.72859231,2.716304296,19.87906697,19.40414223,20.81953492,20.63735506,22.09266203,21.83774858,32.13163949,31.09045547,28.32332397,27.47027126,29.68897039,25.76536185,23.47557195,23.14263401,21.29276538,20.81553519,20.0040112,18.4578686,4.563892166,4.493460564,4.383290176,4.420151209,5.281551397,3.687057574
CL 70:4; CL 16:2-18:0-18:0-18:2; [M+NH4]+,CL , 70:4,C79 H146 O17 P2,23.71807365,22.2035002,20.07098166,21.82382601,19.27334324,19.36534742,37.83237923,38.87271826,33.29166136,36.36306827,37.08088943,37.88651985,47.77702211,48.38133303,50.26356929,49.38755885,49.14118631,47.65328685,44.13095933,45.78716295,42.27164078,39.49930682,41.77480951,40.99897542,2.820323564,2.827249457,3.678657577,3.611892847,3.709487343,3.829612499,56.74120569,56.57825838,56.38335667,57.25401289,57.77993608,62.07342176,62.56815677,66.52736094,65.63722787,66.2292595,64.75190105,63.32828431,45.88110438,45.93187321,36.06540628,41.42435958,39.04356438,41.42674044,6.519458131,6.535628667,6.41461389,6.387262443,7.667740491,7.53414754
CL 70:5; CL 16:0-18:2-18:1-18:2; [M+NH4]+,CL , 70:5,C79 H144 O17 P2,26.94558656,27.26427037,25.03367314,23.04356459,24.32133299,23.10087968,51.94712321,49.38292921,46.41950259,45.531859,46.82802117,47.45362783,38.3679866,38.5607204,38.27853558,33.13062655,34.86830291,36.43805791,24.85655533,23.24580861,22.25373529,23.25961924,20.59296925,22.11132976,3.344130885,3.475084342,4.098824189,4.248563839,4.623687861,4.249467383,39.1074446,31.42399435,35.54123332,40.46209955,32.88073711,33.53441258,60.55457763,53.22239582,63.80688235,61.57821647,62.8960319,58.7389168,39.24356656,35.24854227,29.28610064,28.9795001,29.84455977,34.80785503,7.607079335,7.975539223,7.738149519,7.386112992,8.526323361,8.313734618
HexCer-NS d34:1; HexCer-NS d18:1/16:0; [M+H]+,HexCer , d34:1,C40 H77 N O8,35.3971351,35.63838491,26.52013911,29.09043775,29.34806688,30.54251817,38.81884746,38.18747687,38.74357956,37.92199357,39.61887185,36.48792214,72.91577027,70.15447319,70.72843095,65.8706512,69.22072162,69.47754116,266.3494496,239.3347218,189.2806952,280.4348824,304.2754561,283.7584799,3.75231622,3.970425929,4.852471235,4.824131926,4.6598896,5.075959193,10.86675863,9.843887232,10.93195486,10.64001085,12.2331232,11.27161968,101.3313868,109.8923134,100.5383413,103.6574449,96.54063509,90.40598593,33.31181853,30.61185839,44.24157014,45.78085362,49.41897551,50.91021444,22.53913963,22.95048562,22.0493357,19.57388453,24.39783208,23.04916236
HexCer-NS d36:1; HexCer-NS d18:1/18:0; [M+H]+,HexCer , d36:1,C42 H81 N O8,6.426897181,6.464439394,5.049544659,5.96313519,5.562671229,5.839856025,16.99452022,14.79752766,14.05357326,14.70007921,14.63151519,13.61753041,10.52079787,10.57703514,10.99585613,10.45422071,9.692834224,10.00951771,0.458836548,12.81908274,10.61873539,0.681831673,0.447319188,0.326909392,0.380239806,0.445870512,0.459184416,0.504770125,0.544688675,0.516992171,1.547723898,1.626033214,1.648813341,1.579127708,1.797993644,1.746016706,20.79679309,20.41024457,18.63689238,6.423567564,5.42174524,5.169839751,1.385915943,1.793824596,9.316099726,8.189453272,2.026080747,2.831337537,0.062151054,0.06320573,0.053196384,0.056710191,0.064030923,0.061327675
HexCer-NS d36:1; HexCer-NS d18:1/18:0; [M+H]+,HexCer , d36:1,C42 H81 N O8,2.793817843,2.776719975,2.176967534,1.878615215,1.961554138,2.300450535,1.361421723,1.464237366,1.421730355,1.236565107,1.665820131,1.3324236,2.309894005,1.813271455,2.452312733,2.225713531,2.231579386,2.749254465,73.89776225,70.78823786,54.11067359,78.07852352,82.00285999,82.87152915,0.132921897,0.140783077,0.155513636,0.1367941,0.163550265,0.153794903,1.387995707,1.609581959,1.444194409,1.618916196,1.344748894,1.649266485,14.76446751,32.51531365,17.08438451,18.12366031,17.98847012,16.53216437,7.333568884,5.216026035,7.01511774,13.12264577,9.77239399,11.51043509,1.22804017,1.273494273,1.513235047,1.307623386,1.344102143,1.456610235
HexCer-NS d42:2; HexCer-NS d18:1/24:1; [M+H]+,HexCer , d42:2,C48 H91 N O8,0.437491473,0.289941074,0.248994241,0.243510261,0.438117329,0.307621944,9.923944224,9.046591425,10.1302818,9.179266447,10.17650472,9.984422428,0.349489349,0.344690958,0.372123122,0.314811557,0.293224165,0.525794589,0.134646965,0.144797651,0.102802484,0.228502621,0.120580871,0.148549004,1.249476043,1.343970746,1.742848955,1.760419259,2.072914146,2.158716698,0.663818757,0.505108936,0.545260228,0.596528893,0.659537103,0.63728968,0.61158247,0.383200379,0.299269188,0.454426866,0.54789259,0.596903287,0.403470365,0.395216935,0.509141275,0.630480807,0.618138182,0.543556662,2.455877784,2.520545177,2.517063241,2.481006019,2.453197011,2.79240394
HexCer-NS d42:3; HexCer-NS d18:1/24:2; [M+H]+,HexCer , d42:3,C48 H89 N O8,0.206500839,0.196823815,0.171080612,0.160391049,0.185044812,0.179026677,2.513758424,1.360269764,2.183128825,2.379830255,1.644494661,2.249705772,0.272963691,0.286532315,0.26166047,0.239601673,0.243386112,0.403319726,0.05299732,0.047708078,0.040674242,0.069905304,0.059621187,0.055202712,0.490948496,0.371621587,0.410675748,0.426374035,0.191826793,0.266393382,0.082590088,0.06624228,0.077280004,0.106340598,0.076193613,0.069244323,0.407188638,0.400937139,0.301512362,0.397442675,0.237298362,0.61397569,0.119142134,0.052053342,0.168102855,0.075954994,0.093384704,0.333769135,1.452760387,1.717981376,1.171127328,1.800760461,1.757950615,1.813203102
